stock_id,regime,egarchx_ran,n_time_ids_total,n_time_ids_kept,n_forecasts,n_missed,miss_rate,median_QLIKE,median_MSE
2,liquid,True,3830,1915,1397,518,0.2705,-7.172693925936353,9.746178701891071e-09
3,illiquid,False,3783,1891,0,0,0.0,,
5,illiquid,False,3653,1826,0,0,0.0,,
6,illiquid,False,3765,1882,0,0,0.0,,
7,mixed,True,3762,3762,2482,1280,0.3402,-6.42953470927122,7.6042316371909e-08
9,illiquid,False,3703,1851,0,0,0.0,,
14,liquid,True,3830,1915,1404,511,0.2668,-6.93147030386392,1.0803129692071256e-08
15,mixed,True,3827,3827,2547,1280,0.3345,-6.366891258206818,5.4115544506377194e-08
17,mixed,True,3827,3827,2499,1328,0.347,-6.268066893329412,6.53365486855755e-08
18,illiquid,False,3367,1683,0,0,0.0,,
19,mixed,True,3768,3768,2569,1199,0.3182,-6.605263380743814,5.166835520024701e-08
26,mixed,True,3797,3797,2581,1216,0.3203,-6.526237171379914,3.6513062629854716e-08
27,illiquid,False,3556,1778,0,0,0.0,,
29,liquid,True,3830,1915,1361,554,0.2893,-7.320215129404821,3.0053081169832555e-09
31,illiquid,False,3829,1914,0,0,0.0,,
32,mixed,True,3830,3830,2392,1438,0.3755,-6.604931035844924,2.6428457618514066e-08
33,illiquid,False,3278,1639,0,0,0.0,,
37,illiquid,False,3205,1602,0,0,0.0,,
39,liquid,True,3828,1914,1383,531,0.2774,-7.005825914447026,1.4370304361342464e-08
40,illiquid,False,3735,1867,0,0,0.0,,
41,liquid,True,3830,1915,1408,507,0.2648,-7.064839494106209,1.7086562745329985e-08
43,liquid,True,3830,1915,1341,574,0.2997,-7.666772308469198,1.94780778504919e-09
44,liquid,True,3830,1915,1412,503,0.2627,-6.66555952883097,2.325664360416136e-08
46,liquid,True,3830,1915,1374,541,0.2825,-7.254489602632169,1.2067005987905362e-08
47,liquid,True,3830,1915,1374,541,0.2825,-6.996398875642917,1.9716204942505414e-08
48,mixed,True,3810,3810,2540,1270,0.3333,-6.432390425748917,6.336500069657893e-08
50,liquid,True,3830,1915,1369,546,0.2851,-6.696921392267048,1.4282456073680476e-08
56,mixed,True,3830,3830,2528,1302,0.3399,-6.084197509970784,5.3045686553896526e-08
59,mixed,True,3824,3824,2556,1268,0.3316,-6.362426215085396,6.885515221045543e-08
62,illiquid,False,3813,1906,0,0,0.0,,
64,liquid,True,3830,1915,1391,524,0.2736,-7.056401443227651,1.2885315850232249e-08
69,liquid,True,3830,1915,1389,526,0.2747,-7.042617860631479,7.072642851581709e-09
70,mixed,True,3815,3815,2599,1216,0.3187,-6.597548590933544,4.3284231106660324e-08
72,mixed,True,3802,3802,2533,1269,0.3338,-6.5224976580229805,5.799307495895221e-08
75,illiquid,False,3593,1796,0,0,0.0,,
76,mixed,True,3830,3830,2555,1275,0.3329,-6.187304915085345,6.183809682801571e-08
82,mixed,True,3757,3757,2505,1252,0.3332,-6.460249424740317,7.85552553711284e-08
88,illiquid,False,3382,1691,0,0,0.0,,
89,mixed,True,3766,3766,2482,1284,0.3409,-6.377556892365181,8.52972921829271e-08
90,illiquid,False,3739,1869,0,0,0.0,,
93,liquid,True,3829,1914,1344,570,0.2978,-7.043883694799007,1.0591291186403332e-08
96,mixed,True,3830,3830,2424,1406,0.3671,-6.1119959543256215,6.840598197817802e-08
97,illiquid,False,3763,1881,0,0,0.0,,
98,illiquid,False,3597,1798,0,0,0.0,,
99,liquid,True,3830,1915,1400,515,0.2689,-7.062171612839862,1.5891992752523153e-08
101,mixed,True,3824,3824,2471,1353,0.3538,-6.195204869190941,6.305970053826713e-08
103,illiquid,False,3596,1798,0,0,0.0,,
108,mixed,True,3830,3830,2456,1374,0.3587,-6.472856001370493,3.521245512055078e-08
109,mixed,True,3822,3822,2408,1414,0.37,-6.185197539582215,7.483531755923699e-08
111,liquid,True,3830,1915,1400,515,0.2689,-6.728787553145034,1.6538571880522154e-08
112,illiquid,False,3509,1754,0,0,0.0,,
113,mixed,True,3827,3827,2449,1378,0.3601,-6.189256300212744,7.46538895809128e-08
116,illiquid,False,3733,1866,0,0,0.0,,
119,liquid,True,3830,1915,1385,530,0.2768,-6.818638054966939,1.3387612992044028e-08
120,liquid,True,3830,1915,1413,502,0.2621,-6.821775331417634,1.748930782858638e-08
122,mixed,True,3815,3815,2563,1252,0.3282,-6.309980462004934,5.977364583933437e-08
123,liquid,True,3830,1915,1388,527,0.2752,-7.01962567962976,1.1044566945136111e-08
124,liquid,True,3830,1915,1379,536,0.2799,-6.471038286629489,2.095608781438261e-08
125,liquid,True,3830,1915,1402,513,0.2679,-7.296931302004895,1.2632818166755765e-08
126,illiquid,False,3704,1852,0,0,0.0,,
