stock_id,regime,model,n_time_ids_total,n_time_ids_kept,n_forecasts,n_missed,miss_rate,median_QLIKE,median_MSE,blowup_pct,pct_leverage,pct_fat_tails
2,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1411,504,0.2632,-7.177776564404837,9.103028664277093e-09,0.0,0.46,0.14
3,illiquid,"GARCH(1,1)-t",3783,1891,1315,576,0.3046,-5.439668872436506,4.4016879562324936e-07,0.0101,0.3,0.24
5,illiquid,"GJR-GARCH(1,1,1)-t",3653,1826,1366,460,0.2519,-5.641159482311862,4.710693947997977e-07,0.0101,0.36,0.1
6,illiquid,"GJR-GARCH(1,1,1)-t",3765,1882,1337,545,0.2896,-5.308176441181468,4.1179168055784136e-07,0.0101,0.38,0.26
7,mixed,"GJR-GARCH(1,1,1)-t",3762,3762,2723,1039,0.2762,-6.456414388202399,7.131296327254816e-08,0.0,0.46,0.22
9,illiquid,"GJR-GARCH(1,1,1)-t",3703,1851,1365,486,0.2626,-5.523307014352,4.908067845003941e-07,0.0101,0.42,0.2
14,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1426,489,0.2554,-6.941303363981188,9.706535862250913e-09,0.0,0.54,0.22
15,mixed,"GJR-GARCH(1,1,1)-t",3827,3827,2772,1055,0.2757,-6.355339120472223,5.170637020174822e-08,0.0,0.44,0.18
17,mixed,"GJR-GARCH(1,1,1)-t",3827,3827,2764,1063,0.2778,-6.24031697619178,6.361391546279493e-08,0.0,0.4,0.14
18,illiquid,"GJR-GARCH(1,1,1)-t",3367,1683,1241,442,0.2626,-5.075838071559502,1.7524847780164898e-06,0.0101,0.4,0.1
19,mixed,"GJR-GARCH(1,1,1)-t",3768,3768,2773,995,0.2641,-6.632468014349021,4.927151586722721e-08,0.0,0.44,0.2
26,mixed,"GJR-GARCH(1,1,1)-t",3797,3797,2744,1053,0.2773,-6.525955680970921,3.608265552019722e-08,0.0,0.38,0.26
27,illiquid,"GJR-GARCH(1,1,1)-t",3556,1778,1312,466,0.2621,-5.353539528515331,9.02675994791632e-07,0.0101,0.38,0.2
29,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1419,496,0.259,-7.332882962249569,2.8180334394997407e-09,0.0,0.4,0.22
31,illiquid,"GJR-GARCH(1,1,1)-t",3829,1914,1470,444,0.232,-6.175166899865921,2.6601445317734794e-07,0.01,0.54,0.32
32,mixed,"GJR-GARCH(1,1,1)-t",3830,3830,2845,985,0.2572,-6.6031725736209275,2.5535349501003573e-08,0.0,0.34,0.22
33,illiquid,"GJR-GARCH(1,1,1)-t",3278,1639,1195,444,0.2709,-5.539966180567344,7.530843541468148e-07,0.01,0.46,0.2
37,illiquid,"GARCH(1,1)-t",3205,1602,1101,501,0.3127,-5.378975620019361,9.531923585212447e-07,0.0102,0.3,0.2
39,liquid,"GJR-GARCH(1,1,1)-t",3828,1914,1365,549,0.2868,-7.040991324409631,1.2738631570545171e-08,0.0,0.32,0.18
40,illiquid,"GARCH(1,1)-t",3735,1867,1293,574,0.3074,-5.546173188555647,5.244002412287823e-07,0.0101,0.28,0.28
41,liquid,"GJR-GARCH(1,1,1)-t",3830,1915,1461,454,0.2371,-7.093791116376279,1.574541715234729e-08,0.0,0.58,0.18
