stock_id,liquidity_regime,n_time_ids,ols_median_QLIKE,ols_median_MSE,ols_mean_beta_d,ols_mean_beta_w,ols_mean_beta_m,ols_mean_r2,wls_median_QLIKE,wls_median_MSE,wls_mean_beta_d,wls_mean_beta_w,wls_mean_beta_m,wls_mean_r2,winner,median_QLIKE,median_MSE
2,liquid,1915,-7.154972707876703,3.376846841457663e-09,0.1191956340084958,0.2551902514477822,-1.3475692928780754,0.2294873270774452,-7.15154295012244,3.3307978679656592e-09,0.100441385024303,0.1676324365175865,-1.2693010262555813,0.2274905479408512,OLS,-7.154972707876703,3.3307978679656592e-09
3,illiquid,1891,-5.382780073415927,1.566494964382243e-07,0.1162884404273905,0.1456450280065278,-1.1662306321547458,0.2386429907329762,-5.383133560426083,1.597356224647416e-07,0.0995603238326538,0.0600228270544859,-1.093122265653995,0.2388235050019138,WLS,-5.383133560426083,1.566494964382243e-07
5,illiquid,1826,-5.60039639322264,1.7142144902876307e-07,0.141351032409802,0.2031184555380338,-1.2816934684433507,0.2362224959071376,-5.595852544334038,1.729149875237541e-07,0.1233444448771726,0.1227358158821329,-1.2094773292389978,0.2349388601325805,OLS,-5.60039639322264,1.7142144902876307e-07
6,illiquid,1882,-5.267606690183322,1.5859790909183673e-07,0.120566571521634,0.3027237617824694,-1.3829947875223023,0.2408335398864805,-5.268200619001384,1.5602044822600406e-07,0.0995885648247882,0.2060982054838735,-1.2708840593346926,0.2393214117199269,WLS,-5.268200619001384,1.5602044822600406e-07
7,mixed,3762,-6.385139550407377,2.7747592329007893e-08,0.1348994332673175,0.2241016778195648,-1.3208458446560578,0.236836419034521,-6.381005500104745,2.7706810893100386e-08,0.1174237384065583,0.1447329978779674,-1.256797657623279,0.2358329005337709,OLS,-6.385139550407377,2.7706810893100386e-08
9,illiquid,1851,-5.4787587164098985,1.9320119292870192e-07,0.1236800261846855,0.2026347825904395,-1.317783942025179,0.2358793331050873,-5.481007334661271,1.9347710945565984e-07,0.1046123537775109,0.1191624088961828,-1.2446616842272509,0.2341330873742572,WLS,-5.481007334661271,1.9320119292870192e-07
14,liquid,1915,-6.915279288059796,3.612313966768167e-09,0.1076136646626632,0.2577431348297588,-1.370960629501939,0.2339671763407465,-6.919326098792013,3.689187083643713e-09,0.0873629829861765,0.1707979453705158,-1.2909114036966056,0.2332960222782954,WLS,-6.919326098792013,3.612313966768167e-09
15,mixed,3827,-6.31279952308185,1.926464431141093e-08,0.1136592669441781,0.271195005168814,-1.3599508623865924,0.2339928305171374,-6.309917067804595,1.934165814239296e-08,0.0957314400549446,0.1829371021722278,-1.2831028611980326,0.2316584713798168,OLS,-6.31279952308185,1.926464431141093e-08
17,mixed,3827,-6.213628003902271,2.425373746363683e-08,0.1185008079268965,0.3022361946232593,-1.4014265899060503,0.2344516805075739,-6.211893118774643,2.422711783666296e-08,0.1003732623008832,0.2162860934511862,-1.3189640949466843,0.2328177675173292,OLS,-6.213628003902271,2.422711783666296e-08
18,illiquid,1683,-5.007258018725139,7.639794981255715e-07,0.1748055454673621,0.1646224548923192,-1.2402770200313646,0.2457517079467012,-5.004792471832737,7.624769918823331e-07,0.1579078969445243,0.0930635948897563,-1.1824611480012446,0.2449429619399903,OLS,-5.007258018725139,7.624769918823331e-07
