feature,importance
rv_mean,552.3333333333334
rv_last,423.6666666666667
rv_last3_mean,405.3333333333333
spread_last,357.6666666666667
rv_mid_mean,316.6666666666667
rv_min,274.0
spread_mean,230.66666666666666
stock_mean_rv,216.0
rv_first3_mean,205.0
rv_first,203.66666666666666
spread_std,171.0
spread_trend,164.0
rv_max,152.33333333333334
spread_max,140.66666666666666
spread_rv_ratio,132.66666666666666
rv_std,121.66666666666667
rv_trend,111.33333333333333
stock_mean_spread,75.33333333333333
stock_std_rv,40.333333333333336
wap_trend,0.0
wap_mean,0.0
wap_std,0.0
