stock_id,regime,median_QLIKE,mean_QLIKE,median_MSE,mean_spread,n_sessions
43,liquid,-7.325118642468748,-7.260501454241232,1.7095433112462166e-09,4.599690732010021e-05,766
125,liquid,-7.02346331392188,-6.965190492619761,3.026370234294695e-09,0.00023251639031526838,766
46,liquid,-7.023225406038826,-6.990580610619764,2.7932948726916746e-09,0.0002259461822478169,766
29,liquid,-6.994852971621022,-6.977166251868727,1.5885939758507203e-09,6.668306221641297e-05,766
41,liquid,-6.96042096847289,-6.9131564045808505,3.257904121120794e-09,0.00024039222317452085,766
2,liquid,-6.902682317563356,-6.802963955189354,2.944514096387153e-09,0.00025989049528338097,766
47,liquid,-6.89184497092244,-6.859382653554208,4.251187706499664e-09,0.00024477890143963905,766
93,liquid,-6.825953998399936,-6.755452334175223,3.0054757639056155e-09,0.0002847675267539443,766
99,liquid,-6.8223699067152825,-6.739951726647202,4.212937979066803e-09,0.00024344058740217742,766
64,liquid,-6.801506523870389,-6.7475088869427395,3.841615442346637e-09,0.00025584947077845994,766
123,liquid,-6.760612877866615,-6.689190748363725,2.9274676564686406e-09,0.000238148313733504,766
69,liquid,-6.758209162213676,-6.724443183753702,2.2232011620567955e-09,0.00010916785440888303,766
39,liquid,-6.7253325762880705,-6.650828655561257,4.200587518584192e-09,0.0002995378388795546,764
19,mixed,-6.698073045524997,-6.601949047363616,8.743343373105251e-09,0.0005798060267280137,751
111,liquid,-6.695989095866648,-6.6889022312027295,3.795130888172421e-09,0.0002005226978558281,766
14,liquid,-6.652499013888306,-6.594057263338781,2.7752160645908086e-09,0.00019066140603427623,766
70,mixed,-6.6489480773273275,-6.616671962728884,7.59697636113086e-09,0.0004859975269864989,764
32,mixed,-6.611532061755152,-6.599490475103491,5.5657045150383e-09,0.00037313701594951574,766
120,liquid,-6.587166413622436,-6.542067248250689,4.520029686042819e-09,0.00029490725444998844,766
26,mixed,-6.576105780898996,-6.474078735642667,6.363864303380683e-09,0.0005337839809622085,760
72,mixed,-6.53890383698437,-6.465105278346476,1.0040604464054365e-08,0.0007069563781937632,757
82,mixed,-6.510406125895093,-6.443276074075422,1.1619436248501831e-08,0.0006788438393961649,750
108,mixed,-6.502906345600799,-6.492527197021734,6.593901948210572e-09,0.00036479399426921517,766
119,liquid,-6.499593101021038,-6.442382109250882,4.906124985790193e-09,0.00025421342660653204,766
7,mixed,-6.489969563179116,-6.476606230694081,1.5350906802798924e-08,0.0006159711474553989,754
31,illiquid,-6.478795916575357,-6.46474760645204,3.316110053209289e-08,0.0011943574700592123,766
48,mixed,-6.464081488689061,-6.4015341740115925,8.40500110791978e-09,0.0006085707774896692,760
89,mixed,-6.448203665055534,-6.428310571862845,1.4270732498423776e-08,0.0005493088711967712,754
50,liquid,-6.417994471572666,-6.400584472361607,4.510533539459667e-09,0.00022786155394807276,766
44,liquid,-6.410671778748172,-6.352983783710796,6.260335011664455e-09,0.00025539162546165447,766
59,mixed,-6.376753940227034,-6.315571560467074,1.1106546662461314e-08,0.0006151618441560242,766
15,mixed,-6.362549645413859,-6.314206358913855,8.888101079453202e-09,0.0005854630884185507,765
122,mixed,-6.3092114938801185,-6.264435054138944,1.175909221354261e-08,0.0006375803673533994,764
124,liquid,-6.274269590188966,-6.2045809737603275,6.27804258400055e-09,0.0002052658455333035,766
17,mixed,-6.270385346445153,-6.208319299043756,1.1060752085053383e-08,0.0006028832701019558,766
98,illiquid,-6.250574872135294,-6.193104523143574,3.11551925830474e-08,0.0011259800976288184,723
109,mixed,-6.20737820458007,-6.178234724194666,1.2016795280591024e-08,0.0006073332867512913,765
101,mixed,-6.192833509505084,-6.168716518976033,1.1457286011909571e-08,0.0005658761362524873,765
88,illiquid,-6.180890707021795,-6.10253051675085,3.991578266660872e-08,0.00129580355959309,658
113,mixed,-6.16057870562816,-6.132068827789892,1.3899391672759048e-08,0.0005546191312300966,766
