stock_id,regime,regime_model,actual_rec_model,garch_QLIKE,rec_model_QLIKE,lgbm_QLIKE
2,liquid,EGARCH-X,GARCH,-7.177776564404837,-7.172693925936353,-6.902682317563356
3,illiquid,HAR-RV,LightGBM,-5.439668872436506,-5.383133560426083,-5.733665407337936
5,illiquid,HAR-RV,LightGBM,-5.641159482311862,-5.60039639322264,-6.006256447462432
6,illiquid,HAR-RV,LightGBM,-5.308176441181468,-5.268200619001384,-5.580400598207286
7,mixed,LightGBM,LightGBM,-6.456414388202399,-6.489969563179116,-6.489969563179116
9,illiquid,HAR-RV,LightGBM,-5.523307014352,-5.481007334661271,-5.964745099705434
14,liquid,EGARCH-X,GARCH,-6.941303363981188,-6.93147030386392,-6.652499013888306
15,mixed,LightGBM,LightGBM,-6.355339120472223,-6.362549645413859,-6.362549645413859
17,mixed,LightGBM,LightGBM,-6.24031697619178,-6.270385346445153,-6.270385346445153
18,illiquid,HAR-RV,LightGBM,-5.075838071559502,-5.007258018725139,-5.479104748783859
19,mixed,LightGBM,LightGBM,-6.632468014349021,-6.698073045524997,-6.698073045524997
26,mixed,LightGBM,LightGBM,-6.525955680970921,-6.576105780898996,-6.576105780898996
27,illiquid,HAR-RV,LightGBM,-5.353539528515331,-5.289419706555041,-5.809403911866132
29,liquid,EGARCH-X,GARCH,-7.332882962249569,-7.320215129404821,-6.994852971621022
31,illiquid,HAR-RV,LightGBM,-6.175166899865921,-6.143193965549889,-6.478795916575357
32,mixed,LightGBM,LightGBM,-6.603172573620928,-6.611532061755152,-6.611532061755152
33,illiquid,HAR-RV,LightGBM,-5.539966180567344,-5.481995001231527,-5.983247991925348
37,illiquid,HAR-RV,LightGBM,-5.378975620019361,-5.263475569930822,-5.778440655218692
39,liquid,EGARCH-X,GARCH,-7.040991324409631,-7.005825914447026,-6.725332576288071
40,illiquid,HAR-RV,LightGBM,-5.546173188555647,-5.51010470943867,-5.931838871536954
41,liquid,EGARCH-X,GARCH,-7.093791116376279,-7.064839494106209,-6.96042096847289
43,liquid,EGARCH-X,GARCH,-7.691700564688039,-7.666772308469198,-7.325118642468748
44,liquid,EGARCH-X,GARCH,-6.691785582403667,-6.66555952883097,-6.410671778748172
46,liquid,EGARCH-X,GARCH,-7.3134237696329745,-7.254489602632169,-7.023225406038826
47,liquid,EGARCH-X,GARCH,-7.06303505942957,-6.996398875642917,-6.89184497092244
48,mixed,LightGBM,LightGBM,-6.436599665725731,-6.464081488689061,-6.464081488689061
50,liquid,EGARCH-X,GARCH,-6.707414274446029,-6.696921392267048,-6.417994471572666
56,mixed,LightGBM,GARCH,-6.055216355354497,-6.03325363912589,-6.03325363912589
59,mixed,LightGBM,LightGBM,-6.3700636573335085,-6.376753940227034,-6.376753940227034
62,illiquid,HAR-RV,LightGBM,-5.452961830889777,-5.415235305712442,-5.90068059971898
64,liquid,EGARCH-X,GARCH,-7.086504881012555,-7.056401443227651,-6.801506523870389
69,liquid,EGARCH-X,GARCH,-7.078435957974452,-7.042617860631479,-6.758209162213676
70,mixed,LightGBM,LightGBM,-6.62923625469557,-6.648948077327328,-6.648948077327328
72,mixed,LightGBM,LightGBM,-6.535069093438741,-6.53890383698437,-6.53890383698437
