stock_id,regime,n_diag_sample,pct_arch_effect,pct_autocorr,pct_fat_tails,pct_leverage,model_selected
2,liquid,50,0.04,0.06,0.14,0.46,"GJR-GARCH(1,1,1)-t"
3,illiquid,50,0.04,0.04,0.24,0.3,"GARCH(1,1)-t"
5,illiquid,50,0.04,0.04,0.1,0.36,"GJR-GARCH(1,1,1)-t"
6,illiquid,50,0.02,0.02,0.26,0.38,"GJR-GARCH(1,1,1)-t"
7,mixed,50,0.04,0.06,0.22,0.46,"GJR-GARCH(1,1,1)-t"
9,illiquid,50,0.04,0.04,0.2,0.42,"GJR-GARCH(1,1,1)-t"
14,liquid,50,0.12,0.0,0.22,0.54,"GJR-GARCH(1,1,1)-t"
15,mixed,50,0.06,0.06,0.18,0.44,"GJR-GARCH(1,1,1)-t"
17,mixed,50,0.06,0.1,0.14,0.4,"GJR-GARCH(1,1,1)-t"
18,illiquid,50,0.08,0.02,0.1,0.4,"GJR-GARCH(1,1,1)-t"
19,mixed,50,0.14,0.04,0.2,0.44,"GJR-GARCH(1,1,1)-t"
26,mixed,50,0.02,0.0,0.26,0.38,"GJR-GARCH(1,1,1)-t"
27,illiquid,50,0.06,0.0,0.2,0.38,"GJR-GARCH(1,1,1)-t"
29,liquid,50,0.0,0.04,0.22,0.4,"GJR-GARCH(1,1,1)-t"
31,illiquid,50,0.02,0.0,0.32,0.54,"GJR-GARCH(1,1,1)-t"
32,mixed,50,0.08,0.02,0.22,0.34,"GJR-GARCH(1,1,1)-t"
33,illiquid,50,0.12,0.04,0.2,0.46,"GJR-GARCH(1,1,1)-t"
37,illiquid,50,0.02,0.08,0.2,0.3,"GARCH(1,1)-t"
39,liquid,50,0.0,0.0,0.18,0.32,"GJR-GARCH(1,1,1)-t"
40,illiquid,50,0.04,0.1,0.28,0.28,"GARCH(1,1)-t"
41,liquid,50,0.0,0.02,0.18,0.58,"GJR-GARCH(1,1,1)-t"
43,liquid,50,0.02,0.06,0.24,0.4,"GJR-GARCH(1,1,1)-t"
44,liquid,50,0.02,0.08,0.12,0.38,"GJR-GARCH(1,1,1)-t"
46,liquid,50,0.0,0.04,0.26,0.46,"GJR-GARCH(1,1,1)-t"
47,liquid,50,0.02,0.04,0.22,0.4,"GJR-GARCH(1,1,1)-t"
48,mixed,50,0.04,0.02,0.2,0.38,"GJR-GARCH(1,1,1)-t"
50,liquid,50,0.04,0.06,0.22,0.52,"GJR-GARCH(1,1,1)-t"
56,mixed,50,0.06,0.06,0.18,0.36,"GJR-GARCH(1,1,1)-t"
59,mixed,50,0.04,0.02,0.2,0.3,"GARCH(1,1)-t"
62,illiquid,50,0.02,0.02,0.2,0.38,"GJR-GARCH(1,1,1)-t"
64,liquid,50,0.06,0.0,0.2,0.4,"GJR-GARCH(1,1,1)-t"
69,liquid,50,0.06,0.08,0.3,0.48,"GJR-GARCH(1,1,1)-t"
70,mixed,50,0.14,0.0,0.2,0.56,"GJR-GARCH(1,1,1)-t"
72,mixed,50,0.0,0.04,0.18,0.32,"GJR-GARCH(1,1,1)-t"
75,illiquid,50,0.02,0.06,0.18,0.44,"GJR-GARCH(1,1,1)-t"
76,mixed,50,0.0,0.0,0.2,0.44,"GJR-GARCH(1,1,1)-t"
82,mixed,50,0.06,0.02,0.16,0.28,"GARCH(1,1)-t"
88,illiquid,50,0.04,0.02,0.28,0.4,"GJR-GARCH(1,1,1)-t"
89,mixed,50,0.02,0.08,0.18,0.5,"GJR-GARCH(1,1,1)-t"
90,illiquid,50,0.02,0.1,0.24,0.36,"GJR-GARCH(1,1,1)-t"
93,liquid,50,0.0,0.02,0.18,0.38,"GJR-GARCH(1,1,1)-t"
96,mixed,50,0.04,0.04,0.14,0.36,"GJR-GARCH(1,1,1)-t"
97,illiquid,50,0.04,0.04,0.26,0.36,"GJR-GARCH(1,1,1)-t"
98,illiquid,50,0.04,0.08,0.38,0.4,"GJR-GARCH(1,1,1)-t"
99,liquid,50,0.06,0.04,0.18,0.48,"GJR-GARCH(1,1,1)-t"
101,mixed,50,0.06,0.02,0.2,0.32,"GJR-GARCH(1,1,1)-t"
103,illiquid,50,0.06,0.0,0.24,0.4,"GJR-GARCH(1,1,1)-t"
108,mixed,50,0.06,0.1,0.3,0.52,"GJR-GARCH(1,1,1)-t"
109,mixed,50,0.04,0.02,0.08,0.38,"GJR-GARCH(1,1,1)-t"
111,liquid,50,0.0,0.06,0.2,0.38,"GJR-GARCH(1,1,1)-t"
112,illiquid,50,0.02,0.06,0.22,0.46,"GJR-GARCH(1,1,1)-t"
113,mixed,50,0.06,0.02,0.14,0.4,"GJR-GARCH(1,1,1)-t"
116,illiquid,50,0.02,0.04,0.18,0.4,"GJR-GARCH(1,1,1)-t"
119,liquid,50,0.06,0.06,0.08,0.54,"GJR-GARCH(1,1,1)-t"
120,liquid,50,0.04,0.02,0.24,0.46,"GJR-GARCH(1,1,1)-t"
122,mixed,50,0.04,0.04,0.18,0.46,"GJR-GARCH(1,1,1)-t"
123,liquid,50,0.08,0.08,0.14,0.48,"GJR-GARCH(1,1,1)-t"
124,liquid,50,0.02,0.06,0.24,0.54,"GJR-GARCH(1,1,1)-t"
125,liquid,50,0.0,0.02,0.16,0.58,"GJR-GARCH(1,1,1)-t"
126,illiquid,50,0.04,0.02,0.26,0.36,"GJR-GARCH(1,1,1)-t"
